Ship Name|Latitude|Longitude|Location Source
USS George Washington (CVN-73)|35.2861|139.6539|Yokosuka, Japan (Naval Base)
USS Tripoli (LHA-7)|33.1351|129.7154|Sasebo, Japan (Port)
USS Blue Ridge (LCC-19)|35.1000|129.0400|Busan, South Korea (Port)
USS Rushmore (LSD-47)|33.1351|129.7154|Sasebo, Japan Area
USS New Orleans (LPD-18)|33.1351|129.7154|Sasebo, Japan Area
USS San Diego (LPD-22)|33.1351|129.7154|Sasebo, Japan Area
USS Iwo Jima (LHD-7)|15.5000|-74.5000|Central Caribbean Sea
USS Fort Lauderdale (LPD-28)|15.5000|-74.5000|Central Caribbean Sea
USS San Antonio (LPD-17)|15.5000|-74.5000|Central Caribbean Sea
USS Jason Dunham (DDG-109)|15.5000|-74.5000|Central Caribbean Sea
USS Gravely (DDG-107)|15.5000|-74.5000|Central Caribbean Sea
USS Stockdale (DDG-106)|15.5000|-74.5000|Central Caribbean Sea
USS Lake Erie (CG-70)|15.5000|-74.5000|Central Caribbean Sea
USS Minneapolis-Saint Paul (LCS-21)|15.5000|-74.5000|Central Caribbean Sea
USS Gerald R. Ford (CVN-78)|50.2000|-2.0000|Central English Channel
USS Winston S. Churchill (DDG-81)|50.2000|-2.0000|Eastern Atlantic/English Channel
USS Bainbridge (DDG-96)|55.5000|11.0000|Central Danish Straits
USS Mount Whitney (LCC-20)|35.0000|18.0000|Central Mediterranean Sea
USS Roosevelt (DDG-80)|35.0000|18.0000|Central Mediterranean Sea
USS Paul Ignatius (DDG-117)|35.0000|18.0000|Central Mediterranean Sea
USS Forrest Sherman (DDG-98)|22.0000|38.0000|Central Red Sea
USS Mitscher (DDG-57)|22.0000|38.0000|Central Red Sea
USS Canberra (LCS-30)|14.0000|65.0000|Arabian Sea (U.S. 5th Fleet Area)
USS Santa Barbara (LCS-32)|14.0000|65.0000|Arabian Sea (U.S. 5th Fleet Area)
USS Tulsa (LCS-16)|14.0000|65.0000|Arabian Sea (U.S. 5th Fleet Area)
USS Nimitz (CVN-68)|14.0000|65.0000|Central Arabian Sea
USS Gridley (DDG-101)|14.0000|65.0000|Central Arabian Sea
USS Wayne E. Meyer (DDG-108)|14.0000|65.0000|Central Arabian Sea
USS Lenah Sutcliffe Higbee (DDG-123)|14.0000|65.0000|Central Arabian Sea
USS America (LHA-6)|32.6700|-117.1200|San Diego, Calif. (Naval Base)
USS Harry S. Truman (CVN-75)|36.9400|-76.3100|Norfolk, Va. (Naval Station)
