ship,latitude,longitude
USS George Washington (CVN-73),35.2815,139.6746
USS Tripoli (LHA-7),29.0000,126.0000
USS Abraham Lincoln (CVN-72),15.0000,65.0000
USS Frank E. Petersen Jr. (DDG-121),15.0000,65.0000
USS Michael Murphy (DDG-112),15.0000,65.0000
USS Spruance (DDG-111),15.0000,65.0000
USS Gerald R. Ford (CVN-78),18.3419,-64.9307
USS Bainbridge (DDG-96),18.3419,-64.9307
USS Mahan (DDG-72),18.3419,-64.9307
USS Iwo Jima (LHD-7),15.0000,-75.0000
USS Fort Lauderdale (LPD-28),15.0000,-75.0000
USS San Antonio (LPD-17),15.0000,-75.0000
USS Thomas Hudner (DDG-116),15.0000,-75.0000
USS Stockdale (DDG-106),15.0000,-75.0000
USS Lake Erie (CG-70),15.0000,-75.0000
USS Gettysburg (CG-64),15.0000,-75.0000
USS Wichita (LCS-13),15.0000,-75.0000
USS Roosevelt (DDG-80),35.0000,18.0000
USS Delbert Black (DDG-119),35.0000,18.0000
USS Mitscher (DDG-57),27.0000,51.0000
USS McFaul (DDG-74),27.0000,51.0000
USS Canberra (LCS-30),27.0000,51.0000
USS Tulsa (LCS-16),27.0000,51.0000
USS Santa Barbara (LCS-32),27.0000,51.0000
USCGC Polar Star (WAGB-10),-77.8500,166.6667
USS Theodore Roosevelt (CVN-71),34.0000,-125.0000
