Year;Volume (billion cubic meters)
2021;516
2020;490
2019;484
2018;431
2017;393
2016;358
2015;337
2014;334
2013;327
2012;325
2011;328
2010;302
2009;250
2008;235
2007;226
2006;211
2005;189
2004;178
2003;169
2002;150
2001;143
2000;137
1995;93
1990;72
1985;51
1980;32
1975;13
1970;3
